epoch,phase,train_loss,train_bio_loss,train_sent_loss,train_global_loss,train_consistency_loss,train_contrast_loss,span_f1,sent_f1,glob_f1,composite,is_best
1,phase1,73.0948,48.3346,0.0000,1.1858,0.0000,0.0000,0.0031,0.0000,0.1933,0.0402,best
2,phase1,19.5030,12.6256,0.0000,1.1292,0.0000,0.0000,0.0000,0.0000,0.2690,0.0538,best
3,phase1,18.0200,11.6416,0.0000,1.1152,0.0000,0.0000,0.0000,0.0000,0.1741,0.0348,
4,phase1,17.1221,11.0429,0.0000,1.1154,0.0000,0.0000,0.0481,0.0541,0.2119,0.0827,best
5,phase1,14.9603,9.6030,0.0000,1.1116,0.0000,0.0000,0.1825,0.1573,0.2763,0.1937,best
6,phase2,14.0161,8.1449,1.1114,1.1055,0.7274,0.4128,0.2298,0.3558,0.2360,0.2688,best
7,phase2,12.3403,7.0182,1.1018,1.0986,0.7245,0.2982,0.3503,0.4178,0.2808,0.3566,best
8,phase2,10.7865,5.9919,1.0954,1.0985,0.7275,0.2707,0.4321,0.4551,0.2924,0.4111,best
9,phase2,9.4985,5.1515,1.0915,1.0906,0.7330,0.2036,0.4804,0.4350,0.2686,0.4244,best
10,phase2,8.5169,4.5125,1.0845,1.0751,0.7311,0.1764,0.5087,0.4176,0.3251,0.4447,best
11,phase2,7.5246,3.8545,1.0860,1.0704,0.7336,0.1611,0.5208,0.4181,0.3397,0.4538,best
12,phase2,6.9358,3.4587,1.0853,1.0720,0.7277,0.1790,0.5563,0.4416,0.3471,0.4801,best
13,phase2,6.4085,3.1222,1.0723,1.0630,0.7226,0.1637,0.5691,0.4322,0.3453,0.4832,best
14,phase2,5.9188,2.8065,1.0715,1.0486,0.7172,0.1383,0.5820,0.4493,0.3275,0.4913,best
15,phase2,5.5733,2.5747,1.0706,1.0576,0.7223,0.1321,0.6040,0.4572,0.3589,0.5109,best
16,phase2,5.3034,2.4066,1.0605,1.0435,0.7185,0.1313,0.6172,0.4578,0.3448,0.5149,best
17,phase2,4.9667,2.1792,1.0646,1.0422,0.7251,0.1317,0.6308,0.4514,0.3535,0.5215,best
18,phase2,4.7968,2.0760,1.0565,1.0390,0.7245,0.1146,0.6381,0.4487,0.3589,0.5254,best
19,phase2,4.5068,1.8821,1.0561,1.0414,0.7181,0.1168,0.6442,0.4372,0.3629,0.5259,best
20,phase2,4.3904,1.8084,1.0537,1.0331,0.7208,0.1186,0.6446,0.4522,0.3711,0.5322,best
21,phase2,4.2388,1.7143,1.0482,1.0282,0.7207,0.1099,0.6548,0.4575,0.3555,0.5358,best
22,phase2,4.1429,1.6463,1.0523,1.0262,0.7192,0.1206,0.6547,0.4590,0.3630,0.5376,best
23,phase2,3.9780,1.5471,1.0418,1.0268,0.7216,0.0999,0.6598,0.4489,0.3631,0.5372,
24,phase2,3.9660,1.5346,1.0522,1.0185,0.7181,0.1025,0.6582,0.4536,0.3568,0.5366,
25,phase2,3.8592,1.4718,1.0398,1.0176,0.7176,0.1038,0.6588,0.4539,0.3702,0.5396,best
26,phase2,3.8572,1.4629,1.0479,1.0223,0.7190,0.1063,0.6577,0.4478,0.3715,0.5375,
27,phase2,3.7235,1.3770,1.0464,1.0233,0.7178,0.0940,0.6637,0.4532,0.3768,0.5431,best
28,phase2,3.7708,1.4135,1.0417,1.0173,0.7140,0.0958,0.6626,0.4506,0.3659,0.5397,
29,phase2,3.6827,1.3574,1.0397,1.0144,0.7192,0.0926,0.6637,0.4489,0.3756,0.5416,
30,phase2,3.6615,1.3407,1.0399,1.0183,0.7133,0.1004,0.6618,0.4484,0.3684,0.5391,
