epoch,train_loss,val_loss,score
1,25.074033613215242,10.003168979602366,0.20912325110416918
2,10.510714000611372,9.489840060529799,0.24293942392073817
3,9.750453678406815,8.337127135350155,0.23870108797035727
4,8.046952879801795,6.395017599844588,0.3825585066103897
5,6.307067393999398,5.250823357672643,0.4897317147782472
6,5.128903814889853,4.613962950528812,0.5072649228134294
7,4.378175404851105,4.131746561395435,0.5463482540610115
8,3.9178274984370027,3.8990895693978453,0.5768231301951137
9,3.616031655730296,3.7920604734036774,0.5813591476026417
10,3.414337591831738,3.745117071285271,0.5978838990432551
11,3.2686842890876266,3.6960260237853677,0.6044462102975613
12,3.201811508324797,3.693937784863206,0.6027539664180345
